ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
    1    0.000    0.000    0.000    0.000 <decorator-gen-10>:1(<module>)
    1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
    1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
    1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
    1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
    1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
    1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
    1    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(<module>)
    3    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(_held_figure)
    1    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(<module>)
    1    0.000    0.000    0.000    0.000 <decorator-gen-9>:1(<module>)
1824/812    0.002    0.000    0.151    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
  806    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
  452    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
  452    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:147(__enter__)
  452    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
  806    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
  451    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
  354    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
605/6    0.000    0.000    0.289    0.048 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
 3808    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
    6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
  423    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
  423    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
  423    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
 1692    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
  341    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
  453    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
  746    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:403(cached)
 1040    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
  423    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
    6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
  423    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
  423    0.001    0.000    0.040    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
  451    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
423/7    0.002    0.000    0.289    0.041 <frozen importlib._bootstrap>:663(_load_unlocked)
  441    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
    6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:740(create_module)
